                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      1,                      1,                      0,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                      0,                      1,                      1,                      0,             3.2166e-05,             3.2166e-05,             3.2166e-05
                      3,                      0,                      1,                      1,                      0,              4.581e-05,              4.581e-05,              4.581e-05
                      4,                      0,                      1,                      1,                      0,             5.5214e-05,             5.5214e-05,             5.5214e-05
                      5,                      0,                      1,                      1,                      0,             6.0376e-05,             6.0376e-05,             6.0376e-05
                      6,                      0,                      1,                      1,                      0,             6.1297e-05,             6.1297e-05,             6.1297e-05
                      7,                      0,                      1,                      1,                      0,             5.7977e-05,             5.7977e-05,             5.7977e-05
                      8,                      0,                      1,                      1,                      0,             5.0416e-05,             5.0416e-05,             5.0416e-05
                      9,                      0,                      1,                      1,                      0,             3.8613e-05,             3.8613e-05,             3.8613e-05
                     10,                      0,                      1,                      1,                      0,              2.257e-05,              2.257e-05,              2.257e-05
